,Title,Release Year,Locations,Director,Actor 1
725,Dr. Dolittle 2,2001,"Broadway, Between Franklin & Laguna Streets",Steve Carr,Eddie Murphy
726,The Wedding Planner,2001,Grace Cathedral Episcopal Church (1100 California Street),Adam Shankman,Jennifer Lopez
727,The Princess Diaries,2001,Cliff House (1090 Point Lobos Avenue),Garry Marshall,Julie Andrews
728,Mission (aka City of Bars),2001,Mission Dolores Park (Mission District),Loren Marsh,Chris Coburn
729,By Hook or By Crook,2001,"Royan Hotel (405 Valencia Street, Mission District)",Harriet Dodge & Silas Howard,Silas Howard
730,Sweet November,2001,Citicorp Center (1 Sansome Street at Sutter),Pat O'Connor,Keanu Reeves
731,Sweet November,2001,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place),Pat O'Connor,Keanu Reeves
732,By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center)",Harriet Dodge & Silas Howard,Silas Howard
733,Sweet November,2001,Hotel Majestic (1500 Sutter Street),Pat O'Connor,Keanu Reeves
734,Sweet November,2001,Farley's Café (1315 18th Street Near Missouri),Pat O'Connor,Keanu Reeves
735,The Wedding Planner,2001,Pleasant Street at Taylor,Adam Shankman,Jennifer Lopez
736,The Wedding Planner,2001,City Hall,Adam Shankman,Jennifer Lopez
737,Dr. Dolittle 2,2001,Hyde Street & Lombard Street,Steve Carr,Eddie Murphy
738,Sweet November,2001,Christopher's Books (1400 18th Street),Pat O'Connor,Keanu Reeves
739,The Princess Diaries,2001,2601 Lyon Street,Garry Marshall,Julie Andrews
740,The Princess Diaries,2001,724 Brazil Avenue,Garry Marshall,Julie Andrews
741,The Wedding Planner,2001,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Adam Shankman,Jennifer Lopez
742,The Wedding Planner,2001,Pier 7 (The Embarcadero),Adam Shankman,Jennifer Lopez
743,High Crimes,2002,Condor Club (Columbus and Broadway),Mel Brooks,Mel Brooks
744,High Crimes,2002,Maiden Lane,Mel Brooks,Mel Brooks
745,The Sweetest Thing,2002,Golden Gate National Recreation Area,Roger Kumble,Cameron Diaz
746,High Crimes,2002,Vesuvio Café (255 Columbus Avenue),Mel Brooks,Mel Brooks
747,High Crimes,2002,Union Square,Mel Brooks,Mel Brooks
748,High Crimes,2002,Chase H & Q  (1 Bush Street at Sansome),Mel Brooks,Mel Brooks
749,High Crimes,2002,391 Pennsylvania Avenue at 19th Street,Carl Franklin,Ashley Judd
750,40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),Michael Lehmann,Josh Hartnett
751,Cherish,2002,387 Fair Oaks at 25th Street,Finn Taylor,Brad Hunt
752,40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park",Michael Lehmann,Josh Hartnett
753,High Crimes,2002,Bank of America Building (555 California Street),Mel Brooks,Mel Brooks
754,Swing,2003,Regency Building (1290 Sutter Street),Martin Guigui,Constance Brenneman
755,Swing,2003,Broadway Studios (435 Broadway at Montgomery Street),Martin Guigui,Constance Brenneman
756,Hulk,2003,Vallejo Street at Sansome,Ang Lee,Eric Bana
757,The Core,2003,Golden Gate Bridge,John Amiel,Aaron Eckhart
758,Hulk,2003,Golden Gate Bridge,Ang Lee,Eric Bana
759,Hulk,2003,Telegraph Hill,Ang Lee,Eric Bana
760,Dopamine,2003,"Fort Point (Presidio, Golden Gate National Recreation Area)",Mark Decena,John Livingston
761,Hulk,2003,Treasure Island,Ang Lee,Eric Bana
762,Under the Tuscan Sun,2003,Mecca Restaurant (2029 Market Street),Audrey Wells,Diane Lane
763,Dopamine,2003,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)",Mark Decena,John Livingston
764,Twisted,2004,"McCovey Point, China Basin Park (24 Willy Mays Plaza)",Philip Kaufman,Ashley Judd
765,Twisted,2004,Vesuvio Café (255 Columbus Avenue),Philip Kaufman,Ashley Judd
766,Twisted,2004,The Saloon (1232 Grant Avenue),Philip Kaufman,Ashley Judd
767,Twisted,2004,Piers 30-32,Philip Kaufman,Ashley Judd
768,The Assassination of Richard Nixon,2004,"Tosca Café (242 Columbus Avenue, North Beach)",Niels Mueller,Sean Penn
769,What the Bleep Do We Know,2004,Golden Gate National Recreation Area,William Arntz,Marlee Matlin
770,50 First Dates,2004,Rainforest Café (145 Jefferson Street),Peter Segal,Adam Sandler
771,Twisted,2004,Veterans' War Memorial Building (401 Van Ness Avenue),Philip Kaufman,Ashley Judd
772,Twisted,2004,Pier 39,Philip Kaufman,Ashley Judd
773,Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)",Doug Pray,Josh Kornbluth
774,Twisted,2004,La Bodega (1332 Grant Avenue at Vallejo),Philip Kaufman,Ashley Judd
775,Twisted,2004,Pier 24,Philip Kaufman,Ashley Judd
776,The Assassination of Richard Nixon,2004,766 Sutter Street,Niels Mueller,Sean Penn
777,Twisted,2004,Mojito (1337-1339 Grant Avenue),Philip Kaufman,Ashley Judd
778,Twisted,2004,"Red's Java House (Pier 30-32, The Embarcadero)",Philip Kaufman,Ashley Judd
779,Rent,2005,Treasure Island,Chris Columbus,Anthony Rapp
780,The Pursuit of Happyness,2006,Candlestick Park (602 Jamestown Ave.),Steven Conrad,Will Smith
781,The Pursuit of Happyness,2006,Glen Park Subway Station,Steven Conrad,Will Smith
782,The Bridge,2006,Golden Gate Bridge,Eric Steel,John Snowden
783,The Pursuit of Happyness,2006,Golden Gate Park Children's Playground,Steven Conrad,Will Smith
784,The Pursuit of Happyness,2006,Glide Memorial Church (434 Ellis St),Steven Conrad,Will Smith
785,Zodiac,2007,SF Chronicle Building (901 Mission St),David Fincher,Jake Gyllenhaal
786,Milk,2008,29th and Dolores Street,Gus Van Sant,Sean Penn
787,Milk,2008,El Camino Del Mar,Gus Van Sant,Sean Penn
788,Milk,2008,Chinatown,Gus Van Sant,Sean Penn
789,Milk,2008,424 Sansome Street,Gus Van Sant,Sean Penn
790,Milk,2008,Treasure Island,Gus Van Sant,Sean Penn
791,Milk,2008,Grace Cathedral Episcopal Church (1100 California Street),Gus Van Sant,Sean Penn
792,Milk,2008,Marine Fireman's Union Headquarters,Gus Van Sant,Sean Penn
793,Milk,2008,Golden Gate Bridge,Gus Van Sant,Sean Penn
794,Milk,2008,Lower Haight Street,Gus Van Sant,Sean Penn
795,Milk,2008,Duboce Park,Gus Van Sant,Sean Penn
796,Milk,2008,Market & Castro Street,Gus Van Sant,Sean Penn
797,Milk,2008,City Hall,Gus Van Sant,Sean Penn
798,Hereafter,2010,The Final Final (2990 Baker Street),Clint Eastwood,Matt Damon
799,Hereafter,2010,Hobart Building (582 Market Street),Clint Eastwood,Matt Damon
800,Hereafter,2010,1160 Taylor Street,Clint Eastwood,Matt Damon
801,God is a Communist?* (show me heart universe),2010,Sacramento & Washington Streets,Jon Poznanter,John Wynn
802,180,2011,Mason & California Streets (Nob Hill),Jayendra,Siddarth
803,180,2011,Polk & Larkin Streets,Jayendra,Siddarth
804,180,2011,Epic Roasthouse (399 Embarcadero),Jayendra,Siddarth
805,180,2011,City Hall,Jayendra,Siddarth
806,180,2011,555 Market St.,Jayendra,Siddarth
807,180,2011,Justin Herman Plaza,Jayendra,Siddarth
808,180,2011,200 block Market Street,Jayendra,Siddarth
809,180,2011,Randall Museum,Jayendra,Siddarth
810,Hemingway & Gelhorn,2011,Muni Metro East (501 Cesar Chavez),Philip Kaufman,Nicole Kidman
811,On the Road,2012,Sacramento & Montgomery Streets,Walter Salles,Garrett Hedlund
812,On the Road,2012,Bay Bridge,Walter Salles,Garrett Hedlund
813,On the Road,2012,Filbert & Leavenworth Streets,Walter Salles,Garrett Hedlund
814,Alcatraz,2012,Taylor St. from Broadway to Filbert,J.J. Abrams,Sarah Jones
815,The Master,2012,Pier 7/ Embarcadero,Paul Thomas Anderson,Philip Seymour Hoffman
816,On the Road,2012,2017 23rd Street,Walter Salles,Garrett Hedlund
817,Alcatraz,2012,Leavenworth from Filbert & Francisco St,J.J. Abrams,Sarah Jones
818,Alcatraz,2012,Chestnut St. from Larkin to Columbus,J.J. Abrams,Sarah Jones
819,Alcatraz,2012,Filbert St. from Jones to Mason,J.J. Abrams,Sarah Jones
820,CSI: NY- episode 903,2012,Palace of Fine Arts,Vikki Williams,Gary Sinise
821,Alcatraz,2012,Francisco St from Larkin to Polk,J.J. Abrams,Sarah Jones
822,Alcatraz,2012,Broadway from Mason to Taylor,J.J. Abrams,Sarah Jones
823,Blue Jasmine,2013,Trolley Car from Market and 11th,Woody Allen,Cate Blanchett
824,Blue Jasmine,2013,2898 Broadway,Woody Allen,Cate Blanchett
825,Blue Jasmine,2013,South Park,Woody Allen,Cate Blanchett
826,Blue Jasmine,2013,SFO International Airport Terminal 3,Woody Allen,Cate Blanchett
827,Red Widow,2013,Mason & Sacramento St,Alon Aranya,Radha Mitchell
828,Red Widow,2013,Geary & 27th Ave,Alon Aranya,Radha Mitchell
829,Blue Jasmine,2013,3563 20th St.,Woody Allen,Cate Blanchett
830,Knife Fight,2013,California & Hyde Streets,Bill Guttentag,Rob Lowe
831,The Internship,2013,Grant Ave from Sacramento to Clay,Shawn Levy,Vince Vaughn
832,Blue Jasmine,2013,790 Ulloa,Woody Allen,Cate Blanchett
833,Blue Jasmine,2013,2934 24th St.,Woody Allen,Cate Blanchett
834,Blue Jasmine,2013,2179 48th Ave,Woody Allen,Cate Blanchett
835,Blue Jasmine,2013,5546 Geary Ave,Woody Allen,Cate Blanchett
836,Blue Jasmine,2013,303-305 S. Van Ness,Woody Allen,Cate Blanchett
837,Blue Jasmine,2013,Grant & Washington St.,Woody Allen,Cate Blanchett
838,Blue Jasmine,2013,Real Guitars,Woody Allen,Cate Blanchett
839,Red Widow,2013,Vallejo Street Garage,Alon Aranya,Radha Mitchell
840,Red Widow,2013,Geary & 20th Ave,Alon Aranya,Radha Mitchell
841,The Internship,2013,Montgomery and Union St.,Shawn Levy,Vince Vaughn
842,Blue Jasmine,2013,Heald College,Woody Allen,Cate Blanchett
843,Blue Jasmine,2013,Pacific & Divisadero,Woody Allen,Cate Blanchett
844,Red Widow,2013,Pioneer Park at Coit Tower,Alon Aranya,Radha Mitchell
845,Blue Jasmine,2013,Taylor & Green St.,Woody Allen,Cate Blanchett
846,Knife Fight,2013,Green & Laguna Streets,Bill Guttentag,Rob Lowe
847,Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",Michael Polish,Josh Lucas
848,Blue Jasmine,2013,2178 Palou Ave.,Woody Allen,Cate Blanchett
849,The Internship,2013,Players Arcade at Pier 39,Shawn Levy,Vince Vaughn
850,Blue Jasmine,2013,Aub Zam Zam Bar,Woody Allen,Cate Blanchett
851,Blue Jasmine,2013,The Ramp Restaurant,Woody Allen,Cate Blanchett
852,Red Widow,2013,2nd St & Howard,Alon Aranya,Radha Mitchell
853,Red Widow,2013,California & Davis St,Alon Aranya,Radha Mitchell
854,Blue Jasmine,2013,Marina Blvd from Laguna to Baker,Woody Allen,Cate Blanchett
855,The Internship,2013,Epic Roasthouse,Shawn Levy,Vince Vaughn
856,Knife Fight,2013,City Hall,Bill Guttentag,Rob Lowe
857,Blue Jasmine,2013,1138 Alabama St,Woody Allen,Cate Blanchett
858,Blue Jasmine,2013,Lombard & Hyde,Woody Allen,Cate Blanchett
859,Red Widow,2013,York & 24th St.,Alon Aranya,Radha Mitchell
860,Blue Jasmine,2013,2915 16th St.,Woody Allen,Cate Blanchett
861,Red Widow,2013,Montgomery & Market Streets,Alon Aranya,Radha Mitchell
862,Blue Jasmine,2013,Jones & Pacific,Woody Allen,Cate Blanchett
863,Blue Jasmine,2013,Ocean Beach at Lincoln,Woody Allen,Cate Blanchett
864,Blue Jasmine,2013,200 Post St.,Woody Allen,Cate Blanchett
865,Blue Jasmine,2013,Motel Capri,Woody Allen,Cate Blanchett
866,Red Widow,2013,Broadway & Taylor,Alon Aranya,Radha Mitchell
867,Blue Jasmine,2013,330 Santa Clara Ave.,Woody Allen,Cate Blanchett
868,Blue Jasmine,2013,Marina Green,Woody Allen,Cate Blanchett
869,Red Widow,2013,Golden Gate Ave & Jones,Alon Aranya,Radha Mitchell
870,Looking,2014,BART from Civic Center to 24th St.,Andrew Haigh,Jonathan Groff
871,Godzilla,2014,Bush & Kearny,Gareth Edwards,Aaron Taylor-Johnson
872,Looking,2014,Willy's Barber Shop,Andrew Haigh,Jonathan Groff
873,"Murder in the First, Season 1",2014,731 Grant Avenue,Steven Bochcho,Taye Diggs
874,Dawn of the Planet of the Apes,2014,Alioto Park,Matt Reeves,Gary Oldman
875,Looking,2014,Starbucks at 333 O'Farrell St.,Andrew Haigh,Jonathan Groff
876,Need For Speed,2014,Embarcadero from Broadway to Folsom,Scott Waugh,Aaron Paul
877,Need For Speed,2014,Powell St. from Geary to Sacramento,Scott Waugh,Aaron Paul
878,Love & Taxes,2014,The Marsh Theatre (1062 Valencia Street),Jacob Kornbluth,Jacob Kornbluth
879,Dawn of the Planet of the Apes,2014,City Hall,Matt Reeves,Gary Oldman
880,"Murder in the First, Season 1",2014,1201 Columbus Avenue,Steven Bochcho,Taye Diggs
881,Big Eyes,2014,Harry's Bar on Fillmore,Tim Burton,Amy Adams
882,Looking,2014,Orphan Andy's,Andrew Haigh,Jonathan Groff
883,Godzilla,2014,Mission & Beal,Gareth Edwards,Aaron Taylor-Johnson
884,"Murder in the First, Season 1",2014,Cameron House (920 Sacramento Street),Steven Bochcho,Taye Diggs
885,Godzilla,2014,Kearney & Pine St.,Gareth Edwards,Aaron Taylor-Johnson
886,Looking,2014,222 Mason St.,Andrew Haigh,Jonathan Groff
887,Godzilla,2014,Pier 1,Gareth Edwards,Aaron Taylor-Johnson
888,Looking,2014,Casa Lucas Market at 2934 24th St,Andrew Haigh,Jonathan Groff
889,"Murder in the First, Season 1",2014,Kearny Street between Broadway and Pacific Avenue,Steven Bochcho,Taye Diggs
890,Godzilla,2014,Pier 7 (The Embarcadero),Gareth Edwards,Aaron Taylor-Johnson
891,Big Eyes,2014,Pine St. & Grant,Tim Burton,Amy Adams
892,Looking,2014,2000 Folsom,Andrew Haigh,Jonathan Groff
893,Parks and Recreation,2014,Filbert from Hyde to Leavenworth,Dean Holland,Amy Poehler
894,Looking,2014,Presidio Church at 130 Fisher Loop,Andrew Haigh,Jonathan Groff
895,"Murder in the First, Season 1",2014,50 California Street,Steven Bochcho,Taye Diggs
896,Looking,2014,24th and Church St.,Andrew Haigh,Jonathan Groff
897,Looking,2014,Muddy Waters Coffee House,Andrew Haigh,Jonathan Groff
898,Looking,2014,2866 24th St.,Andrew Haigh,Jonathan Groff
899,Godzilla,2014,Pine St. & Davis St,Gareth Edwards,Aaron Taylor-Johnson
900,Looking,2014,Bay Bridge,Andrew Haigh,Jonathan Groff
901,Looking,2014,Muni line N- Judah,Andrew Haigh,Jonathan Groff
902,Need For Speed,2014,California St from Taylor to Powell,Scott Waugh,Aaron Paul
903,Godzilla,2014,California & Davis St,Gareth Edwards,Aaron Taylor-Johnson
904,Love & Taxes,2014,20 Hill Street,Jacob Kornbluth,Jacob Kornbluth
905,Big Eyes,2014,Nobles Alley,Tim Burton,Amy Adams
906,Looking,2014,601 Buena Vista West,Andrew Haigh,Jonathan Groff
907,"Murder in the First, Season 1",2014,Dolores Park,Steven Bochcho,Taye Diggs
908,"Murder in the First, Season 1",2014,1541 Grove Street,Steven Bochcho,Taye Diggs
909,"Murder in the First, Season 1",2014,9 Calhoun Terrace,Steven Bochcho,Taye Diggs
910,"Murder in the First, Season 1",2014,504 Broadway,Steven Bochcho,Taye Diggs
911,About a Boy,2014,Broderick from Fulton to McAlister,Mark J. Kunerth,David Walton
912,Looking,2014,1890 Clay St.,Andrew Haigh,Jonathan Groff
913,"Murder in the First, Season 1",2014,350 Union Street,Steven Bochcho,Taye Diggs
914,Parks and Recreation,2014,Larkin & Fulton,Dean Holland,Amy Poehler
915,"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets,Steven Bochcho,Taye Diggs
916,"Murder in the First, Season 1",2014,Hall of Justice (850 Bryant Street),Steven Bochcho,Taye Diggs
917,Dawn of the Planet of the Apes,2014,California St from Mason to Kearny,Matt Reeves,Gary Oldman
918,"Murder in the First, Season 1",2014,13 Lucky Street,Steven Bochcho,Taye Diggs
919,Looking,2014,Urban Flowers,Andrew Haigh,Jonathan Groff
920,About a Boy,2014,Powell from Bush and Sutter,Mark J. Kunerth,David Walton
921,"Murder in the First, Season 1",2014,Palace of Fine Arts (3301 Lyon Street),Steven Bochcho,Taye Diggs
922,Godzilla,2014,Stockton & Clay St,Gareth Edwards,Aaron Taylor-Johnson
923,Big Eyes,2014,1101 Filbert St.,Tim Burton,Amy Adams
924,Big Eyes,2014,Saints Peter & Paul Church,Tim Burton,Amy Adams
925,"Murder in the First, Season 1",2014,Pier 45,Steven Bochcho,Taye Diggs
926,"Murder in the First, Season 1",2014,24th Street between Folsom and Harrison Streets,Steven Bochcho,Taye Diggs
927,Godzilla,2014,Potrero &San Bruno,Gareth Edwards,Aaron Taylor-Johnson
928,Godzilla,2014,Sacramento & Front St.,Gareth Edwards,Aaron Taylor-Johnson
929,Looking,2014,Mr. S Leather,Andrew Haigh,Jonathan Groff
930,Godzilla,2014,Post & Jones St.,Gareth Edwards,Aaron Taylor-Johnson
931,"Murder in the First, Season 1",2014,AT&T Park,Steven Bochcho,Taye Diggs
932,Looking,2014,Union Square,Andrew Haigh,Jonathan Groff
933,Looking,2014,Fort Funston,Andrew Haigh,Jonathan Groff
934,Big Eyes,2014,Palace of Fine Arts,Tim Burton,Amy Adams
935,Big Eyes,2014,Caffe Trieste,Tim Burton,Amy Adams
936,Looking,2014,Golden Gate Bridge,Andrew Haigh,Jonathan Groff
937,Big Eyes,2014,Filbert St. & Leavenworth,Tim Burton,Amy Adams
938,Looking,2014,The Fairmont,Andrew Haigh,Jonathan Groff
939,Big Eyes,2014,Green St. & Grant Ave.,Tim Burton,Amy Adams
940,Looking,2014,Folsom Street Fair on Folsom St.,Andrew Haigh,Jonathan Groff
941,Looking,2014,St. Francis Fountain,Andrew Haigh,Jonathan Groff
942,Need For Speed,2014,Mason St from Pine to Sacramento,Scott Waugh,Aaron Paul
943,Godzilla,2014,Broadway & Columbus,Gareth Edwards,Aaron Taylor-Johnson
944,Looking,2014,Market & Church St.,Andrew Haigh,Jonathan Groff
945,Looking,2014,Church and Duboce Muni Station,Andrew Haigh,Jonathan Groff
946,Looking,2014,Valencia St. from 16th to 17th,Andrew Haigh,Jonathan Groff
947,Parks and Recreation,2014,Embarcadero & Market,Dean Holland,Amy Poehler
948,Looking,2014,The Café at 2369 Market St.,Andrew Haigh,Jonathan Groff
949,Looking,2014,Punjab,Andrew Haigh,Jonathan Groff
950,Dawn of the Planet of the Apes,2014,California & Powell,Matt Reeves,Gary Oldman
951,Parks and Recreation,2014,Columbus and Green,Dean Holland,Amy Poehler
952,"Murder in the First, Season 1",2014,373 Columbus Avenue,Steven Bochcho,Taye Diggs
953,"Murder in the First, Season 1",2014,Joice Street at Clay Street,Steven Bochcho,Taye Diggs
954,Looking,2014,Jawbone at 99 Rhode Island St.,Andrew Haigh,Jonathan Groff
955,"Murder in the First, Season 1",2014,Waverly Alley between Grant and Sacramento Streets,Steven Bochcho,Taye Diggs
956,"Murder in the First, Season 1",2014,800 Bay Street,Steven Bochcho,Taye Diggs
957,Looking,2014,Golden Gate Park,Andrew Haigh,Jonathan Groff
958,Looking,2014,"Tiburon Hiking Trail, Tiburon, CA",Andrew Haigh,Jonathan Groff
959,Looking,2014,Doc's Clock,Andrew Haigh,Jonathan Groff
960,Godzilla,2014,Broadway & Sansome,Gareth Edwards,Aaron Taylor-Johnson
961,Love & Taxes,2014,198 Gough Street,Jacob Kornbluth,Jacob Kornbluth
962,Looking,2014,Dolores Park,Andrew Haigh,Jonathan Groff
963,Looking,2014,Mission Arts Center,Andrew Haigh,Jonathan Groff
964,Big Eyes,2014,Way Faire Inn on Leidesdorff,Tim Burton,Amy Adams
965,Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,Matt Reeves,Gary Oldman
966,"Murder in the First, Season 1",2014,1821 Alabama Street,Steven Bochcho,Taye Diggs
967,"Murder in the First, Season 1",2014,Alamo Square Park,Steven Bochcho,Taye Diggs
968,Looking,2014,Treasure Island,Andrew Haigh,Jonathan Groff
969,Looking,2014,2413 Harrison St.,Andrew Haigh,Jonathan Groff
970,Godzilla,2014,Embarcadero & Washington,Gareth Edwards,Aaron Taylor-Johnson
971,Dawn of the Planet of the Apes,2014,University Club,Matt Reeves,Gary Oldman
972,Godzilla,2014,Mission & Fremont St,Gareth Edwards,Aaron Taylor-Johnson
973,Godzilla,2014,Eddy & Taylor St.,Gareth Edwards,Aaron Taylor-Johnson
974,Looking,2014,The Stud,Andrew Haigh,Jonathan Groff
975,"Murder in the First, Season 1",2014,Ida B. Wells High School (1099 Hayes Street),Steven Bochcho,Taye Diggs
976,Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,Matt Reeves,Gary Oldman
977,About a Boy,2014,Crissy Field,Mark J. Kunerth,David Walton
978,Looking,2014,Eros,Andrew Haigh,Jonathan Groff
979,"Murder in the First, Season 1",2014,369 Embarcadero,Steven Bochcho,Taye Diggs
980,Looking,2014,Castro St. from Market to 18th St.,Andrew Haigh,Jonathan Groff
981,Looking,2014,Sutro Baths,Andrew Haigh,Jonathan Groff
982,Looking,2014,770 Haight St,Andrew Haigh,Jonathan Groff
983,"Smile Again, Jenny Lee",2015,Kansas St at 17th St.,Carlo Caldana,Craig Tsuyumine
984,The Diary of a Teenage Girl,2015,Tonic,Marielle Heller,Alexander Skarsgard
985,The Diary of a Teenage Girl,2015,Presidio Branch Library,Marielle Heller,Alexander Skarsgard
986,Terminator - Genisys,2015,Powell St at Geary St,Alan Taylor,Arnold Schwarzenegger
987,Looking Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St",Andrew Haigh,Jonathan Groff
988,"Smile Again, Jenny Lee",2015,Manor West (750 Harrison St.),Carlo Caldana,Craig Tsuyumine
989,The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,Marielle Heller,Alexander Skarsgard
990,Terminator - Genisys,2015,California St. between Drumm St. and Kearny St.,Alan Taylor,Arnold Schwarzenegger
991,"Smile Again, Jenny Lee",2015,E Tutto Qua Restaurant (270 Columbus St.),Carlo Caldana,Craig Tsuyumine
992,"Murder in the First, Season 2",2015,Treasure Island,Steven Bochcho,Taye Diggs
993,Terminator - Genisys,2015,16th and Utah,Alan Taylor,Arnold Schwarzenegger
994,"Murder in the First, Season 2",2015,83 Watchman Way,Steven Bochcho,Taye Diggs
995,Steve Jobs,2015,Intersection of Clay St. and Walter U Lum Plc,Danny Boyle,Michael Fassbender
996,"Murder in the First, Season 2",2015,Stevenson Alley,Steven Bochcho,Taye Diggs
997,The Diary of a Teenage Girl,2015,Polk and Northpoint St.,Marielle Heller,Alexander Skarsgard
998,Age of Adaline,2015,Plate Shots SF streets various,Lee Toland Krieger,Blake Lively
999,"Murder in the First, Season 2",2015,Harriet Street between Bryant and Brannan Streets,Steven Bochcho,Taye Diggs
1000,"Murder in the First, Season 2",2015,901 Missouri Street,Steven Bochcho,Taye Diggs
1001,Ant-Man,2015,Broadway between Powell and Davis,Peyton Reed,Michael Douglas
1002,Americana,2015,The San Francisco School (300 Gavin St.),Zachary Shedd,Kelli Garner
1003,Summertime,2015,Duboce Park,Gabriele Muccino,Jessica Rothe
1004,I Am Michael,2015,Sanchez/Cumberland steps and sidewalks,Justin Kelly,James Franco
1005,Americana,2015,Treasure Island,Zachary Shedd,Kelli Garner
1006,Looking Season 2 ep 208,2015,950 Mason Street,Andrew Haigh,Jonathan Groff
1007,I Am Michael,2015,4100 20th St,Justin Kelly,James Franco
1008,Quitters,2015,Cal-Mart Supermarket,Noah Pritzker,Kara Hayward
1009,Cardinal X,2015,1559 Underwood Avenue between Lane and Keith,Annie Wang,Annie Q
1010,Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street",Andrew Haigh,Jonathan Groff
1011,Looking Season 2 ep 209,2015,"Mission Arts Center, 2450 Harrison Street",Andrew Haigh,Jonathan Groff
1012,Looking Season 2 ep 210,2015,67 Deming Street,Andrew Haigh,Jonathan Groff
1013,Looking Season 2 ep 203,2015,Kezar Pavillion,Andrew Haigh,Jonathan Groff
1014,Looking Season 2 ep 205,2015,24th Between Portrero & Alabama,Andrew Haigh,Jonathan Groff
1015,Quitters,2015,21st St & Sanchez,Noah Pritzker,Kara Hayward
1016,Steve Jobs,2015,21st and Sanchez St,Danny Boyle,Michael Fassbender
1017,Americana,2015,Roxie Theater (3117 16th St.),Zachary Shedd,Kelli Garner
1018,Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,Zachary Shedd,Kelli Garner
1019,I Am Michael,2015,Ocean Beach @ Balboa,Justin Kelly,James Franco
1020,Americana,2015,679 Madrid St,Zachary Shedd,Kelli Garner
1021,Sense8,2015,Harrison,The Wachowskis,Jamie Clayton
1022,Looking Season 2 ep 207,2015,"Sparky's Diner, 242 Church Street",Andrew Haigh,Jonathan Groff
1023,Summertime,2015,Chinatown (Stockton @ Jackson & Jackson toward Grant,Gabriele Muccino,Jessica Rothe
1024,Cardinal X,2015,Lyon at Chestnut St.,Annie Wang,Annie Q
1025,Looking Season 2 ep 208,2015,"Citizens Band, 1198 Folsom Street",Andrew Haigh,Jonathan Groff
1026,Terminator - Genisys,2015,Howard St. from Embarcadero to 11 St.,Alan Taylor,Arnold Schwarzenegger
1027,"Smile Again, Jenny Lee",2015,"Fairmont Hotel (950 Mason Street, Nob Hill)",Carlo Caldana,Craig Tsuyumine
1028,"Smile Again, Jenny Lee",2015,411 Shrader St.,Carlo Caldana,Craig Tsuyumine
1029,Terminator - Genisys,2015,Union Square,Alan Taylor,Arnold Schwarzenegger
1030,Looking Season 2 ep 205,2015,534 Hyde Street,Andrew Haigh,Jonathan Groff
1031,San Andreas,2015,Pier 43,Brad Peyton,Dwayne Johnson
1032,San Andreas,2015,555 California,Brad Peyton,Dwayne Johnson
1033,The Diary of a Teenage Girl,2015,700 Kansas St.,Marielle Heller,Alexander Skarsgard
1034,Looking Season 2 ep 210,2015,Twin Peaks Park,Andrew Haigh,Jonathan Groff
1035,Steve Jobs,2015,War Memorial Opera House (401 Van Ness Avenue),Danny Boyle,Michael Fassbender
1036,Terminator - Genisys,2015,Bush St. at Stockton St.,Alan Taylor,Arnold Schwarzenegger
1037,Steve Jobs,2015,Castro St. between 21st an Hill St,Danny Boyle,Michael Fassbender
1038,Looking Season 2 ep 207,2015,Delores Park,Andrew Haigh,Jonathan Groff
1039,San Andreas,2015,Broadway and Kearney,Brad Peyton,Dwayne Johnson
1040,San Andreas,2015,Clay St. at Taylor,Brad Peyton,Dwayne Johnson
1041,San Andreas,2015,Grant St. at Bush St.,Brad Peyton,Dwayne Johnson
1042,Summertime,2015,53 Potomac St,Gabriele Muccino,Jessica Rothe
1043,Terminator - Genisys,2015,Front St. between Market and Clay,Alan Taylor,Arnold Schwarzenegger
1044,Ant-Man,2015,California between Kearney and Davis,Peyton Reed,Michael Douglas
1045,Americana,2015,Palace of Fine Arts,Zachary Shedd,Kelli Garner
1046,Quitters,2015,Bechelli's Flower Market Café,Noah Pritzker,Kara Hayward
1047,Ant-Man,2015,420 Jones St. at Ellis St.,Peyton Reed,Michael Douglas
1048,"Murder in the First, Season 2",2015,Sue Bierman Park,Steven Bochcho,Taye Diggs
1049,Terminator - Genisys,2015,Pine St. between Market and Kearny,Alan Taylor,Arnold Schwarzenegger
1050,San Andreas,2015,"Vallejo St. Garage, 766 Vallejo St.",Brad Peyton,Dwayne Johnson
